title,time,videolink
b'Adding font awesome icons to iNotebook | Complete React Course in Hindi #62',11:41,https://www.youtube.com/watch?v=pH37pK7kalA
b'Adding AddNote component to iNotebook | Complete React Course in Hindi #63',15:51,https://www.youtube.com/watch?v=EseqvMqulAQ
"b'Adding ""delete note"" functionality to iNotebook | Complete React Course in Hindi #64'",06:44,https://www.youtube.com/watch?v=MQpI6pc6J6s
"b'Adding ""fetch notes"" functionality to iNotebook | Complete React Course in Hindi #65'",14:11,https://www.youtube.com/watch?v=x-mYMGf7P6M
b'Adding a Modal for Editing Notes | Complete React Course in Hindi #66',17:17,https://www.youtube.com/watch?v=J5hGX5_XZDk
b'Updating Notes on edit in the UI using React | Complete React Course in Hindi #67',12:32,https://www.youtube.com/watch?v=lcJXF2Svo-c
b'Adding Frontend Validation + Few Fixes in iNotebook | Complete React Course in Hindi #68',13:02,https://www.youtube.com/watch?v=W8SmVTL-ToY
b'Adding Login Component to iNotebook | Complete React Course in Hindi #69',20:25,https://www.youtube.com/watch?v=S0nmMn2n82k
b'Adding SignUp Component to iNotebook | Complete React Course in Hindi #70',12:39,https://www.youtube.com/watch?v=rw5NZB4P_0Q
"b'Adding Alerts to Login, Signup & Notes Component of iNotebook | Complete React Course in Hindi #71'",10:57,https://www.youtube.com/watch?v=1mH7SPeFwbg
b'Fetching User Specific Notes in iNotebook | Complete React Course in Hindi #72',11:38,https://www.youtube.com/watch?v=MP-_pkakBao
b'Introduction to Redux | Complete React Course in Hindi #73',08:48,https://www.youtube.com/watch?v=JZQWKYjfZlQ
b'Setting up a React Application for Redux | Complete React Course in Hindi #74',09:46,https://www.youtube.com/watch?v=hFyLMMj8Ncg
b'Creating a Reducer & Action Creator in Redux | Complete React Course in Hindi #75',13:18,https://www.youtube.com/watch?v=jGCW8ZUrcqE
b'Creating a Redux Store | Complete React Course in Hindi #76',09:53,https://www.youtube.com/watch?v=-uqTWF0GfxA
b'Accessing State in Redux | Complete React Course in Hindi #77',05:43,https://www.youtube.com/watch?v=TQGmTwrp_60
b'Updating state from a different component in Redux | Complete React Course in Hindi #78',11:11,https://www.youtube.com/watch?v=UX6Kf48qCvs
